trialNum,mainExpLoop.thisRepN,mainExpLoop.thisTrialN,mainExpLoop.thisN,mainExpLoop.thisIndex,motionLoop.thisRepN,motionLoop.thisTrialN,motionLoop.thisN,motionLoop.thisIndex,Instructions_2.started,Instructions_2.stopped,Inst_key_2.keys,Inst_key_2.rt,Inst_key_2.started,Inst_key_2.stopped,background.started,background.stopped,Instructions_3.started,Instructions_3.stopped,football.started,football.stopped,post_left.started,post_left.stopped,post_right.started,post_right.stopped,leftGesture.started,leftGesture.stopped,rightGesture.started,rightGesture.stopped,intention_keys.keys,intention_keys.rt,intention_keys.started,intention_keys.stopped,leftBar.started,leftBar.stopped,rightBar.started,rightBar.stopped,ActualBallDirection,ActualOnsetDelay,text_2.started,text_2.stopped,background_2.started,background_2.stopped,post_left_2.started,post_left_2.stopped,post_right_2.started,post_right_2.stopped,football_2.started,football_2.stopped,leftGesture_2.started,leftGesture_2.stopped,rightGesture_2.started,rightGesture_2.stopped,leftBar_2.started,leftBar_2.stopped,rightBar_2.started,rightBar_2.stopped,Instructions_5.started,Instructions_5.stopped,background_3.started,background_3.stopped,post_left_3.started,post_left_3.stopped,post_right_3.started,post_right_3.stopped,football_3.started,football_3.stopped,leftGesture_3.started,leftGesture_3.stopped,rightGesture_3.started,rightGesture_3.stopped,leftBar_3.started,leftBar_3.stopped,rightBar_3.started,rightBar_3.stopped,Instructions_6.started,Instructions_6.stopped,SubmittedTimeRating,timing_slider.response,timing_slider.rt,timing_slider.started,timing_slider.stopped,submit_button.started,submit_button.stopped,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,Timetext.started,Timetext.stopped,timing_question.started,timing_question.stopped,confidenceScale.response,confidenceScale.rt,confidenceScale.started,confidenceScale.stopped,condifence_submit.started,condifence_submit.stopped,condifence_submit.numClicks,condifence_submit.timesOn,condifence_submit.timesOff,Confidence_question.started,Confidence_question.stopped,intentionCheck,only_Question.started,only_Question.stopped,button_no.started,button_no.stopped,button_no.numClicks,button_no.timesOn,button_no.timesOff,button_yes.started,button_yes.stopped,button_yes.numClicks,button_yes.timesOn,button_yes.timesOff,Participant,Session,Block,date,expName,psychopyVersion,frameRate,
,,,,,,,,,16.16707398800645,None,space,4.835543608001899,16.16707398800645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Mar_17_1509,SoA_main_withoutQ,2021.2.3,None,
1,0,0,0,0,,,,,,,,,,,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,left,3.690423328022007,21.086096586019266,None,21.086096586019266,None,21.086096586019266,None,R,0.3,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,24.803838499006815,None,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,26.180454218003433,624.0,624.0,1.6025821560178883,26.22556331701344,None,26.22556331701344,None,1,[2.106878135993611],[2.1068811509758234],26.22556331701344,None,26.22556331701344,None,57.0,6.595140223973431,28.32424882100895,None,28.32424882100895,None,1,[8.337949601002038],[8.337953475944232],28.32424882100895,None,No,36.67040140100289,None,36.67040140100289,None,1,[2.9618378480081446],[2.961841397045646],36.67040140100289,None,0,,,,,,2022_Mar_17_1509,SoA_main_withoutQ,2021.2.3,None,
3,0,1,1,2,,,,,,,,,,,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,left,1.5410759480437264,39.629498886992224,None,39.629498886992224,None,39.629498886992224,None,R,0,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,41.197166304689986,None,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,42.2803173380089,518.0,518.0,0.7516031379927881,42.30309458001284,None,42.30309458001284,None,2,"[2.106878135993611, 1.655774131999351]","[2.1068811509758234, 1.6557775610126555]",42.30309458001284,None,42.30309458001284,None,50.0,0.6630722429836169,43.96859992900863,None,43.96859992900863,None,2,"[8.337949601002038, 1.171003533003386]","[8.337953475944232, 1.1710075419978239]",43.96859992900863,None,No,45.14667596202344,None,45.14667596202344,None,2,"[2.9618378480081446, 0.5479464949457906]","[2.961841397045646, 0.5479505589464679]",45.14667596202344,None,0,,,,,,2022_Mar_17_1509,SoA_main_withoutQ,2021.2.3,None,
16,0,2,2,15,,,,,,,,,,,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,left,4.541619191004429,45.6962940240046,None,45.6962940240046,None,45.6962940240046,None,L,0.8,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,50.265968068968505,None,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,52.1465171870077,508.0,508.0,0.8502687480067834,52.16958063200582,None,52.16958063200582,None,3,"[2.106878135993611, 1.655774131999351, 1.1065783450030722]","[2.1068811509758234, 1.6557775610126555, 1.106582269014325]",52.16958063200582,None,52.16958063200582,None,51.0,0.730613587948028,53.285706118971575,None,53.285706118971575,None,3,"[8.337949601002038, 1.171003533003386, 1.005522513994947]","[8.337953475944232, 1.1710075419978239, 1.0055265889968723]",53.285706118971575,None,No,54.296897927997634,None,54.296897927997634,None,3,"[2.9618378480081446, 0.5479464949457906, 0.6458526250207797]","[2.961841397045646, 0.5479505589464679, 0.6458572930423543]",54.296897927997634,None,0,,,,,,2022_Mar_17_1509,SoA_main_withoutQ,2021.2.3,None,
18,0,3,3,17,,,,,,,,,,,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,right,0.7084958670311607,54.94617173500592,None,54.94617173500592,None,54.94617173500592,None,R,0.7,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,55.68042422999861,None,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,57.447034985001665,499.0,499.0,0.46893391001503915,57.470746877021156,None,57.470746877021156,None,4,"[2.106878135993611, 1.655774131999351, 1.1065783450030722, 0.7727718129754066]","[2.1068811509758234, 1.6557775610126555, 1.106582269014325, 0.772774979006499]",57.470746877021156,None,57.470746877021156,None,50.0,0.6300399159663357,58.252684028004296,None,58.252684028004296,None,4,"[8.337949601002038, 1.171003533003386, 1.005522513994947, 0.8377933779847808]","[8.337953475944232, 1.1710075419978239, 1.0055265889968723, 0.8377965859835967]",58.252684028004296,None,No,59.09697694698116,None,59.09697694698116,None,4,"[2.9618378480081446, 0.5479464949457906, 0.6458526250207797, 19.762111592048313]","[2.961841397045646, 0.5479505589464679, 0.6458572930423543, 19.762116177007556]",59.09697694698116,None,0,,,,,,2022_Mar_17_1509,SoA_main_withoutQ,2021.2.3,None,
,,,,,,,,,,,,,,,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,escape,0.7823896870249882,78.86316595401149,None,78.86316595401149,None,78.86316595401149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
